"oppcall","timespan","laghome","goaldiff","inrow2"
0,14.75,0,-1,0
0,6.9,1,2,0
1,8.45,1,2,1
0,11.75,0,0,0
1,6.3,1,1,0
1,3.333333,1,-1,1
1,5.933333,0,-1,1
1,2.633333,1,-1,1
0,13.93333,0,2,0
0,7.1,1,5,0
1,9.383333,0,-1,0
0,4.95,0,0,0
0,5.233333,0,0,0
1,10.03333,1,3,1
1,15.38333,1,-1,1
1,2.983333,1,0,0
1,5.116667,0,-2,1
1,3.25,0,1,0
1,3.633333,1,-1,1
1,5.8,1,1,1
0,5.416667,0,3,0
1,12.3,0,-2,1
0,3.616667,1,1,0
1,4.216667,0,-1,0
0,4.266667,1,-1,0
1,4.333333,0,1,0
0,0.75,0,0,0
0,4.85,0,1,0
0,4.683333,1,4,0
0,7.583333,0,-1,1
0,1,0,0,0
1,2.566667,1,-2,0
1,5.316667,0,1,1
1,2.233333,0,0,0
0,2.933333,0,0,1
1,2.2,1,0,0
0,5.85,0,-1,1
0,3.45,0,0,0
0,3.1,1,-3,0
0,2.833333,0,0,1
0,1.466667,0,-1,0
0,0.6166667,0,-1,1
0,4.566667,1,0,0
1,10.05,1,2,0
1,2.783333,0,1,1
0,2.7,1,0,0
1,1.283333,0,2,0
0,3.8,0,-1,1
0,10.9,1,2,0
1,0.8333333,0,0,0
0,12.1,0,-2,0
1,2.416667,1,2,1
0,1.416667,1,4,0
0,7.35,1,2,1
1,4.816667,1,0,0
1,1.566667,0,-1,0
1,3.383333,1,0,1
0,0.2666667,0,1,0
1,5.733333,0,1,1
0,8.483333,0,3,0
1,2.35,1,-2,0
1,5.5,0,-1,1
0,17.51667,1,-1,0
1,8.566667,1,1,0
0,2.416667,0,-1,0
1,1.5,1,2,1
1,4.616667,0,-1,0
1,2.283333,1,-1,1
1,4.933333,0,1,0
1,5.383333,1,-2,0
1,1.166667,0,1,1
0,2.633333,1,2,1
0,2.366667,0,-1,1
1,3.15,1,-1,0
1,2.483333,0,0,0
1,2.5,1,-1,0
1,0.6,0,0,1
1,3.516667,1,1,1
0,18.88333,0,1,0
1,7.666667,0,0,0
1,5.316667,1,0,0
1,12.93333,1,1,0
0,1.016667,0,4,0
1,1.083333,1,1,0
1,3,0,-1,0
1,6.183333,0,0,1
1,0.4333333,1,1,1
0,3.533333,1,-1,0
1,2.65,0,2,0
1,6.25,1,0,0
1,28.28333,1,-2,1
